Breed,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Longevity,Total-Cost($),Purchase-Cost($),Food-Cost($)
Affenpinscher,Toy,37,Above-Average,Small,11.42,15835,510,3180
Afghan Hound,Hound,80,Lowest,Large,11.92,20818,890,7260
Airedale Terrier,Terrier,29,Above-Average,Medium,11.45,,733,
Akita,Working,54,Average,Large,10.16,18217,1202,6188
Alaskan Malamute,Working,50,Average,Large,10.67,19069,1210,6499
American English Coonhound,Hound,,,Large,11.5,,283,
American Eskimo Dog,Non-Sporting,,,Small,,,560,
American Foxhound,Hound,46,Average,Medium,,,757,
American Staffordshire Terrier,Terrier,34,Above-Average,Medium,,,1043,
American Water Spaniel,Sporting,44,Average,Medium,,,730,
Anatolian Shepherd Dog,Working,,,Large,10.75,,,6548
Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671
Australian Shepherd,Herding,42,Average,Medium,12.28,18524,565,4915
Australian Terrier,Terrier,34,Above-Average,Small,11.05,15475,640,3077
Basenji,Hound,79,Lowest,Medium,13.58,19125,940,3781
Basset Hound,Hound,71,Lowest,Small,11.43,15827,490,3183
Beagle,Hound,73,Lowest,Small,12.3,16777,288,3425
Bearded Collie,Herding,34,Above-Average,Medium,12.77,,,5111
Beauceron,Herding,,,Large,,,967,
Bedlington Terrier,Terrier,40,Average,Small,13.51,19151,1058,3762
Belgian Malinois,Herding,22,Excellent,Large,,,1080,
Belgian Sheepdog,Herding,15,Excellent,Large,,,,
Belgian Tervuren,Herding,14,Excellent,Large,10.6,16600,1070,4243
Bernese Mountain Dog,Working,22,Excellent,Large,7.56,14032,1320,4605
Bichon Frise,Non-Sporting,45,Average,Small,12.21,17063,693,3400
Black and Tan Coonhound,Hound,44,Average,Large,,,325,
Black Russian Terrier,Working,,,Large,,,2833,
Bloodhound,Hound,75,Lowest,Large,6.75,11979,608,4111
Bluetick Coonhound,Hound,,,Large,,,370,
Border Collie,Herding,1,Brightest,Medium,12.52,17404,623,3486
Border Terrier,Terrier,30,Above-Average,Small,14,19575,833,3898
Borzoi,Hound,76,Lowest,Large,9.08,14007,675,3634
Boston Terrier,Non-Sporting,54,Average,Medium,10.92,15352,690,3041
Bouvier des Flandres,Herding,29,Above-Average,Large,10.34,16489,1335,4139
Boxer,Working,48,Average,Medium,8.81,13641,700,3526
Boykin Spaniel,Sporting,,,Medium,,,531,
Briard,Herding,30,Above-Average,Large,11.17,17004,650,4471
Brittany,Sporting,19,Excellent,Medium,12.92,19503,618,5171
Brussels Griffon,Toy,59,Fair,Small,12,16925,833,3341
Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087
