id,name,type,size,gender,age,colors_primary,colors_secondary,breeds
69816108,Molly,Dog,Medium,Female,Baby,Red / Chestnut / Orange,Merle (Red),Australian Cattle Dog / Blue Heeler
69816106,Hank,Dog,Large,Male,Young,null,null,German Shepherd Dog
69816104,Bianca,Dog,Medium,Female,Adult,null,null,Mixed Breed
69816100,Blaze,Dog,Medium,Male,Baby,Black,Brindle,American Staffordshire Terrier
69816093,Paisley,Dog,Medium,Female,Young,null,null,Terrier
69816092,Moose,Dog,Medium,Male,Senior,null,null,Mixed Breed
69816084,NORA - 3 mo. old gentle quiet smart curious baby,Dog,Large,Female,Baby,Yellow / Tan / Blond / Fawn,null,Labrador Retriever
69816083,Bubba,Dog,Large,Male,Young,Black,null,Terrier
69816079,Willow,Dog,Medium,Female,Young,null,null,Great Pyrenees
69816075,Jilly,Dog,Large,Female,Baby,null,null,Great Dane
69816074,Jolly,Dog,Large,Female,Baby,null,null,Great Dane
69816071,Buddy,Dog,Small,Male,Adult,null,null,Terrier
69816070,Bubba and Cadence,Dog,Small,Male,Senior,Tricolor (Brown/ Black/ & White),null,Border Terrier
69816065,SOPHIE,Dog,Medium,Female,Adult,Tricolor (Brown/ Black/ & White),null,Pit Bull Terrier
69816063,TI,Dog,Medium,Male,Young,Black,White / Cream,Mixed Breed
69816059,Daphne,Dog,Small,Female,Adult,White / Cream,null,Mixed Breed
69816060,Dakota,Dog,Small,Female,Adult,White / Cream,null,Mixed Breed
69816054,Betty Lou,Dog,Medium,Female,Adult,Black,Yellow / Tan / Blond / Fawn,German Shepherd Dog
69816053,Kiwi,Dog,Medium,Female,Young,Yellow / Tan / Blond / Fawn,null,Shepherd
69816051,Theodore ,Dog,Small,Male,Baby,Tricolor (Brown/ Black/ & White),null,Beagle
69816050,Birdie,Dog,Medium,Female,Adult,Yellow / Tan / Blond / Fawn,null,Pit Bull Terrier
69816049,River,Dog,Medium,Female,Adult,Black,null,Chow Chow
69816048,Grayson,Dog,Large,Male,Baby,Gray / Blue / Silver,White / Cream,Pit Bull Terrier
69816046,Browning,Dog,Small,Male,Baby,Brown / Chocolate,null,Shiba Inu
69816026,LATTE,Dog,Large,Female,Adult,Yellow / Tan / Blond / Fawn,White / Cream,Pit Bull Terrier
69816030,Dancer,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816034,Blitzen,Dog,Medium,Male,Baby,Gray / Blue / Silver,Brown / Chocolate,Mixed Breed
69816035,Rudolph,Dog,Medium,Male,Baby,Gray / Blue / Silver,null,Mixed Breed
69816041,Dasher,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816042,Cupid,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816031,Jasper,Dog,Large,Male,Adult,White / Cream,Black,Mixed Breed
69816039,Comet,Dog,Medium,Male,Baby,Black,null,Mixed Breed
69816038,Sugar,Dog,Medium,Female,Adult,Brown / Chocolate,null,Mixed Breed
69816044,Asher,Dog,Medium,Male,Young,Brown / Chocolate,Yellow / Tan / Blond / Fawn,Mixed Breed
69816033,Hot Cocoa,Dog,Medium,Female,Baby,Brown / Chocolate,White / Cream,Mixed Breed
69816045,Prancer,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816028,Sven,Dog,Medium,Male,Baby,Apricot / Beige,null,Mixed Breed
69816032,Kristoff,Dog,Medium,Male,Baby,Gray / Blue / Silver,null,Mixed Breed
69816036,Elsa,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816040,Anna,Dog,Medium,Female,Baby,White / Cream,null,Mixed Breed
69816027,Cherry Cordial,Dog,Medium,Female,Baby,Black,White / Cream,Mixed Breed
69816037,Gingerbread Man,Dog,Medium,Male,Baby,Black,Brown / Chocolate,Mixed Breed
69816029,Peppermint Bark,Dog,Medium,Male,Baby,White / Cream,Brown / Chocolate,Mixed Breed
69816022,Glacier,Dog,Small,Male,Adult,Apricot / Beige,null,Poodle
69816011,Ariel,Dog,Medium,Female,Adult,Black,White / Cream,Pit Bull Terrier
69816008,Mopey,Dog,Medium,Male,Baby,null,null,Mixed Breed
69816007,Sharla - EXT JA,Dog,Medium,Female,Young,White / Cream,Yellow / Tan / Blond / Fawn,Shar-Pei
69816006,Kristoff,Dog,Small,Male,Adult,Yellow / Tan / Blond / Fawn,Apricot / Beige,Yorkshire Terrier
69816005,Tarmac,Dog,Medium,Male,Senior,null,null,Pit Bull Terrier
69816003,Losco,Dog,Medium,Male,Adult,Yellow / Tan / Blond / Fawn,null,Mixed Breed
69816004,Cloud 9,Dog,Large,Male,Adult,Golden,null,Mixed Breed
