Petfinder-ID,Name,Size,Gender,Age,Color,Breed,Category_x,Intelligence-Ranking_x,Intelligence-Category_x,Size-Category_x,Longevity_x,Total-Cost($)_x,Purchase-Cost($)_x,Food-Cost($)_x,Category_y,Intelligence-Ranking_y,Intelligence-Category_y,Size-Category_y,Longevity_y,Total-Cost($)_y,Purchase-Cost($)_y,Food-Cost($)_y,Cost-Category_x,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Longevity,Total-Cost($),Purchase-Cost($),Food-Cost($),Cost-Category_y
65653819,Eloise,Large,Female,Adult,Gray,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
68926034,Penny,Medium,Female,Baby,Black,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69313950,Pirate ,Extra Large,Male,Baby,Tricolor,Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124,Working,65,Fair,Large,7.78,17336,875,8124,Mid-Price,Working,65,Fair,Large,7.78,17336,875,8124,Saver
69340682,Fiona,Small,Female,Senior,Apricot,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69402276,Rory,Medium,Female,Adult,Red,Pembroke Welsh Corgi,Herding,11,Excellent,Small,12.25,19625,587,6026,Herding,11,Excellent,Small,12.25,19625,587,6026,High-End,Herding,11,Excellent,Small,12.25,19625,587,6026,Budget
69402298,Ember ,Small,Female,Adult,Red,Pembroke Welsh Corgi,Herding,11,Excellent,Small,12.25,19625,587,6026,Herding,11,Excellent,Small,12.25,19625,587,6026,High-End,Herding,11,Excellent,Small,12.25,19625,587,6026,Budget
69402755,Edna,Medium,Female,Baby,Black,Plott,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,High-End,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Budget
69402778,Gertrude,Medium,Female,Baby,Black,Plott,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,High-End,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Budget
69402789,Gladys,Medium,Female,Baby,Black,Plott,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,High-End,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Budget
69402835,Archibald,Medium,Male,Baby,Black,Plott,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,High-End,Hound,54,Average,Medium,10.793529411764707,19272,602,4852,Budget
69465107,Rocky,Small,Male,Young,Apricot,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69478685,Smuckers,Small,Male,Young,Golden,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69511216,Diamond,Extra Large,Female,Adult,Tricolor,Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124,Working,65,Fair,Large,7.78,17336,875,8124,Mid-Price,Working,65,Fair,Large,7.78,17336,875,8124,Saver
69511231,Emerald,Extra Large,Female,Adult,Tricolor,Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124,Working,65,Fair,Large,7.78,17336,875,8124,Mid-Price,Working,65,Fair,Large,7.78,17336,875,8124,Saver
69511332,Saphhire (Olivia),Extra Large,Female,Baby,Tricolor,Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124,Working,65,Fair,Large,7.78,17336,875,8124,Mid-Price,Working,65,Fair,Large,7.78,17336,875,8124,Saver
69511877,Amethyst,Extra Large,Female,Baby,Tricolor,Saint Bernard,Working,65,Fair,Large,7.78,17336,875,8124,Working,65,Fair,Large,7.78,17336,875,8124,Mid-Price,Working,65,Fair,Large,7.78,17336,875,8124,Saver
69518238,Mateo,Small,Male,Adult,White,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69577328,Josie,Small,Female,Adult,Tricolor,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69620235,Snowball,Large,Male,Adult,White,Great Pyrenees,Working,64,Fair,Large,10.0,16102,503,5484,Working,64,Fair,Large,10.0,16102,503,5484,Mid-Price,Working,64,Fair,Large,10.0,16102,503,5484,Saver
69631929,Christmas,Small,Male,Senior,Black,Shih Tzu,Toy,70,Low,Small,13.2,18264,583,3675,Toy,70,Low,Small,13.2,18264,583,3675,High-End,Toy,70,Low,Small,13.2,18264,583,3675,Budget
69648192,Alice,Extra Large,Female,Adult,Brindle,American Staffordshire Terrier,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Mid-Price,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Saver
69648225,Mambo No. 5,Medium,Female,Baby,Black,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69648486,Carolina,Medium,Female,Adult,Brown,Bulldog,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Budget,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Mid-Price
69648743,Trent,Medium,Male,Young,Brown,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69648773,Drax,Small,Male,Young,Blue Merle,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69655404,"Fortune ""Forty""",Medium,Male,Baby,Brown,Siberian Husky,Working,45,Average,Medium,12.58,19043,650,5035,Working,45,Average,Medium,12.58,19043,650,5035,High-End,Working,45,Average,Medium,12.58,19043,650,5035,Budget
69677807,Erwin,Large,Male,Adult,Gray,Siberian Husky,Working,45,Average,Medium,12.58,19043,650,5035,Working,45,Average,Medium,12.58,19043,650,5035,High-End,Working,45,Average,Medium,12.58,19043,650,5035,Budget
69682224,Bindi,Medium,Female,Young,Blue Merle,Australian Shepherd,Herding,42,Average,Medium,12.28,18524,565,4915,Herding,42,Average,Medium,12.28,18524,565,4915,High-End,Herding,42,Average,Medium,12.28,18524,565,4915,Budget
69689118,Charlie,Large,Male,Adult,Brindle,German Shepherd,Herding,3,Brightest,Large,9.73,15091,820,3895,Herding,3,Brightest,Large,9.73,15091,820,3895,Mid-Price,Herding,3,Brightest,Large,9.73,15091,820,3895,Saver
69715582,Hogan - in Palermo/ ME,Extra Large,Male,Adult,White,Great Pyrenees,Working,64,Fair,Large,10.0,16102,503,5484,Working,64,Fair,Large,10.0,16102,503,5484,Mid-Price,Working,64,Fair,Large,10.0,16102,503,5484,Saver
69715819,George,Medium,Male,Young,Yellow,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69716200,Lila,Medium,Female,Adult,Black,Australian Shepherd,Herding,42,Average,Medium,12.28,18524,565,4915,Herding,42,Average,Medium,12.28,18524,565,4915,High-End,Herding,42,Average,Medium,12.28,18524,565,4915,Budget
69717970,Little One,Medium,Female,Adult,Gray,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69722834, Ocean: The Playful Pup with a Heart-Shaped Mark of Love,Medium,Female,Baby,White,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69723846,Suzie ,Small,Female,Baby,Brindle,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
