Petfinder-ID,Name,Size,Gender,Age,Color,Breed
65653819,Eloise,Large,Female,Adult,Gray,Bull Terrier
68926034,Penny,Medium,Female,Baby,Black,Labrador Retriever
69110281,Brad,Large,Male,Adult,,German Shepherd
69313950,Pirate ,Extra Large,Male,Baby,Tricolor,Saint Bernard
69340682,Fiona,Small,Female,Senior,Apricot,Chihuahua
69402276,Rory,Medium,Female,Adult,Red,Pembroke Welsh Corgi
69402298,Ember ,Small,Female,Adult,Red,Pembroke Welsh Corgi
69402755,Edna,Medium,Female,Baby,Black,Plott
69402778,Gertrude,Medium,Female,Baby,Black,Plott
69402789,Gladys,Medium,Female,Baby,Black,Plott
69402835,Archibald,Medium,Male,Baby,Black,Plott
69465107,Rocky,Small,Male,Young,Apricot,Chihuahua
69478685,Smuckers,Small,Male,Young,Golden,Pug
69511216,Diamond,Extra Large,Female,Adult,Tricolor,Saint Bernard
69511231,Emerald,Extra Large,Female,Adult,Tricolor,Saint Bernard
69511332,Saphhire (Olivia),Extra Large,Female,Baby,Tricolor,Saint Bernard
69511877,Amethyst,Extra Large,Female,Baby,Tricolor,Saint Bernard
69518238,Mateo,Small,Male,Adult,White,Chihuahua
69577328,Josie,Small,Female,Adult,Tricolor,Chihuahua
69620235,Snowball,Large,Male,Adult,White,Great Pyrenees
69631929,Christmas,Small,Male,Senior,Black,Shih Tzu
69648192,Alice,Extra Large,Female,Adult,Brindle,American Staffordshire Terrier
69648225,Mambo No. 5,Medium,Female,Baby,Black,Parson Russell Terrier
69648486,Carolina,Medium,Female,Adult,Brown,Bulldog
69648743,Trent,Medium,Male,Young,Brown,Bull Terrier
69648773,Drax,Small,Male,Young,Blue Merle,Australian Cattle Dog
69655404,"Fortune ""Forty""",Medium,Male,Baby,Brown,Siberian Husky
69677807,Erwin,Large,Male,Adult,Gray,Siberian Husky
69682224,Bindi,Medium,Female,Young,Blue Merle,Australian Shepherd
69689118,Charlie,Large,Male,Adult,Brindle,German Shepherd
69711303,Tucker,Medium,Male,Young,,Parson Russell Terrier
69715582,Hogan - in Palermo/ ME,Extra Large,Male,Adult,White,Great Pyrenees
69715819,George,Medium,Male,Young,Yellow,Labrador Retriever
69716200,Lila,Medium,Female,Adult,Black,Australian Shepherd
69717970,Little One,Medium,Female,Adult,Gray,Bull Terrier
69722834, Ocean: The Playful Pup with a Heart-Shaped Mark of Love,Medium,Female,Baby,White,Labrador Retriever
69723846,Suzie ,Small,Female,Baby,Brindle,Parson Russell Terrier
69728185,CEDAR,Small,Male,Adult,Golden,Norwich Terrier
69734370,Penny,Small,Female,Adult,Apricot,Parson Russell Terrier
69736096,Spencer,Small,Male,Young,Black,Parson Russell Terrier
69736122,Macho,Small,Male,Young,Apricot,Chihuahua
69736171,Wookiee in Texarkana TX,Small,Male,Young,Black,Dachshund
69736225,Hazel,Small,Female,Senior,White,Maltese
